DISTRICT,WARD_CURRENT,VILLAGE.SHEHIA,HumanFEMALEs_vill,HumanMALES_vill,DogsOwned,DogsStray_estimate1,DogsStray_estimate2,Easting,Northing,Mainland.Island
Mkoani,Mkanyageni,Michenzani,2045,2184,25,14,14,570943,9402632,Mainland
Mkoani,Mkanyageni,Stahabu,1422,1460,35,30,30,571570,9402504,Mainland
Mkoani,Chokocho,Chokocho,2570,2529,35,10,10,571975,9400236,Mainland
Mkoani,Kisiwa Panza,Kisiwa Panza,2246,2362,0,0,0,571701,9396590,Island
Mkoani,Kiwani,Kiwani,1313,1377,12,7,7,584162,9403268,Mainland
Mkoani,Kiwani,Kendwa,2316,2339,21,11,11,581728,9403244,Mainland
Mkoani,Kiwani,Mtangani,1900,1746,26,8,8,586447,9406256,Mainland
Mkoani,Muambe,Muambe,3636,3348,15,7,7,582551,9400730,Mainland
Mkoani,Muambe,Jombwe,1614,1427,2,0,0,583675,9401562,Mainland
Mkoani,Muambe,Shamiani,498,718,0,0,0,581763,9398818,Mainland
Mkoani,Mtambile,Mtambile,2573,2268,13,10,10,577680,9405460,Mainland
Mkoani,Kangani,Mjimbini,1347,1063,42,1,1,576749,9402622,Mainland
Mkoani,Kangani,Kuukuu,1332,1268,54,16,16,577054,9399038,Mainland
Mkoani,Kangani,Kangani,2287,2270,21,20,20,576299,9400154,Mainland
Mkoani,Kengeja,Mkungu,829,735,22,14,14,581510,9411104,Mainland
Mkoani,Kengeja,Kengeja,3028,2500,43,19,19,580609,9401094,Mainland
Mkoani,Mtambile,Minazini,728,686,18,12,10,580890,9406012,Mainland
Mkoani,Chambani,Chambani,2639,3009,50,20,20,586812,9409518,Mainland
Mkoani,Chambani,Mizingani,1121,1174,13,0,0,578792,9406796,Mainland
Mkoani,Chambani,Ukutini,1549,1475,30,4,4,584340,9409084,Mainland
Mkoani,Chambani,Ngwachani,1449,1749,45,16,16,575043,9405376,Mainland
Mkoani,Chambani,Mgagadu,704,777,18,25,40,580465,9408306,Mainland
Chakechake,Chanjaani,Chanjaani,1850,1826,47,NA,NA,585782,9418224,Mainland
Chakechake,Chanjaani,Madungu,2321,1914,33,NA,NA,585862,9419512,Mainland
Chakechake,Shungi,Shungi,1661,1578,NA,NA,NA,583255,9415768,Mainland
Chakechake,Chachani,Msingini,1113,973,5,NA,NA,585125,9420244,Mainland
Chakechake,Chachani,Chachani,721,460,4,NA,NA,585092,9420210,Mainland
Chakechake,Shumba Viamboni,Kichungwani,1456,1164,11,NA,NA,584968,9419876,Mainland
Chakechake,Tibirinzi,Tibirinzi,2705,3254,38,NA,NA,584516,9421294,Mainland
Chakechake,Tibirinzi,Wesha,2154,2072,20,NA,NA,581771,9422092,Mainland
Chakechake,Ndagoni,Ndagoni,2457,2406,NA,NA,NA,578833,9423818,Mainland
Chakechake,Kwale,Kwale,2045,1894,5,NA,NA,585394,9424996,Mainland
Chakechake,Kwale,Michungwani,1450,1291,5,NA,NA,584192,9423906,Mainland
Chakechake,Ziwani,Ziwani,3385,2934,53,NA,NA,585338,9427890,Mainland
Chakechake,Ziwani,Mbuzini,1330,1295,NA,NA,NA,587110,9426178,Mainland
Chakechake,Wara,Wara,4308,3404,17,NA,NA,586724,9421340,Mainland
Chakechake,Wara,Mkoroshoni,1937,1639,14,NA,NA,586240,9422082,Mainland
Chakechake,Ngambwa,Ng'ambwa,3340,3080,63,NA,NA,586801,9423472,Mainland
Chakechake,Ng'ambwa,Uwandani,1598,1421,16,NA,NA,591371,9424546,Mainland
Chakechake,Vitongoji,Vitongoji,2056,2618,33,NA,NA,591421,9422750,Mainland
Chakechake,Vitongoji,Kibokoni,1208,1191,NA,NA,NA,592089,9420896,Mainland
Chakechake,Wawi,Wawi,3553,3245,44,NA,NA,588481,9421074,Mainland
Chakechake,Wawi,Mvumoni,1291,975,33,NA,NA,590312,9418340,Mainland
Chakechake,Wawi,Mgogoni,1500,1223,27,NA,NA,590312,9418340,Mainland
Chakechake,Wawi,Mfikiwa,918,1053,20,NA,NA,589163,9417830,Mainland
Chakechake,Pujini,Pujini,2982,2833,6,NA,NA,588565,9414158,Mainland
Chakechake,Pujini,Dodo,2141,2096,20,NA,NA,587770,9413674,Mainland
Chakechake,Pujini,Matale,1987,2026,44,NA,NA,584706,9413722,Mainland
Chakechake,Chonga,Chonga,2891,2683,51,NA,NA,583340,9413588,Mainland
Chakechake,Chonga,Mgelema,1345,1741,30,NA,NA,578688,9415022,Mainland
Chakechake,Kilindi,Kilindi,1758,1822,46,NA,NA,579891,9418216,Mainland
