District,Shehia,subvillage,vacc_date,dogs_vaccinated,Cats_vaccinated,total_dog_estimate
Mkoani,Mkungu,Kwamgogo,30/07/2019,1,0,3
Mkoani,Mkungu,Kwamgogo,30/07/2019,3,0,8
Mkoani,Mkungu,Sipwese,30/07/2019,5,0,6
Mkoani,Mkungu,Mahuduthi,30/07/2019,2,0,3
Mkoani,Kengeja,Kaani,30/07/2019,2,0,3
Mkoani,Kengeja,Likoni,30/07/2019,8,0,8
Mkoani,Kengeja,Sokoni,30/07/2019,4,0,4
Mkoani,Kengeja,Maumbiwni,30/07/2019,1,0,1
Mkoani,Kengeja,Mjiweni,30/07/2019,4,0,4
Mkoani,Kengeja,Mjiweni,30/07/2019,1,0,2
Mkoani,Kengeja,Mjiweni,30/07/2019,4,0,3
Mkoani,Kengeja,Mjanaeza,30/07/2019,4,0,5
Mkoani,Kengeja,Mazrui,30/07/2019,3,0,3
Mkoani,Kengeja,Mazrui,30/07/2019,1,0,4
Mkoani,Kengeja,Njiweni,30/07/2019,1,0,1
Mkoani,Kengeja,Mjiweni,30/07/2019,1,0,1
Mkoani,Ngwachani,Mtengombe,30/07/2019,9,0,9
Mkoani,Ngwachani,Ngwachani,30/07/2019,3,0,3
Mkoani,Ngwachani,Sokoni,30/07/2019,0,0,4
Mkoani,Ngwachani,Magogoni,30/07/2019,2,0,2
Mkoani,Ngwachani,Magogoni,30/07/2019,1,0,1
Mkoani,Ngwachani,Mikindani,30/07/2019,1,0,1
Mkoani,Ngwachani,Ng'ombeni,30/07/2019,3,0,3
Mkoani,Mwambe,Mvumoni,30/07/2019,2,0,2
Mkoani,Mwambe,Dogogo,30/07/2019,1,0,1
Mkoani,Chumbageni,Sisimizini,30/07/2019,1,0,1
Mkoani,Chumbageni,Sisimizini,30/07/2019,2,0,8
Mkoani,Chumbageni,Tumbi,30/07/2019,3,0,5
Mkoani,Chumbageni,Tumbi,30/07/2019,2,0,8
Mkoani,Chumbageni,Ndikoni,30/07/2019,0,0,8
Mkoani,Chumbageni,Vndogoni,30/07/2019,8,0,4
Mkoani,Chumbageni,Mperani,30/07/2019,3,0,3
Mkoani,Chumbageni,Tumbi,30/07/2019,1,0,4
Mkoani,Minazini,Mgelema,30/07/2019,3,0,3
Mkoani,Minazini,Mikinduni,30/07/2019,1,0,2
Mkoani,Minazini,Kivumoni,30/07/2019,1,0,1
Mkoani,Minazini,Mtemani,30/07/2019,1,0,2
Mkoani,Minazini,Mtemani,30/07/2019,2,0,2
Mkoani,Minazini,Mtemani,30/07/2019,1,0,1
Mkoani,Minazini,Minazini,30/07/2019,1,0,1
Mkoani,Kendwa,Bandar basi,30/07/2019,2,0,2
Mkoani,Kendwa,Kwa bakia,30/07/2019,1,0,1
Mkoani,Mgagadu,Mgagadu,30/07/2019,1,0,1
Mkoani,Ng'ombeni,Jondeni,31/07/2019,2,0,2
Mkoani,Ng'ombeni,Mkirikili,31/07/2019,6,0,10
Mkoani,Ng'ombeni,Mkirikili,31/07/2019,1,0,1
Mkoani,Ng'ombeni,Kinyasini,31/07/2019,1,0,1
Mkoani,Makombeni,Tasini,31/07/2019,1,0,3
Mkoani,Kangani,Pondeani,31/07/2019,1,0,1
Mkoani,Kangani,Tarabora,31/07/2019,2,0,2
Mkoani,Kangani,Nchikichini,31/07/2019,4,0,4
Mkoani,Kangani,Tanga,31/07/2019,4,0,5
Mkoani,Changaweni,Meli tatu,31/07/2019,1,0,1
Mkoani,Changaweni,Meli tatu,31/07/2019,3,0,3
Mkoani,Mjimbini,Mibrani,31/07/2019,1,0,4
Mkoani,Mjimbini,Mibrani,31/07/2019,2,0,3
Mkoani,Mjimbini,Mibrani,31/07/2019,1,0,1
Mkoani,Mjimbini,Shukeni,31/07/2019,1,0,1
Mkoani,Mjimbini,Shukeni,31/07/2019,4,0,5
Mkoani,Mjimbini,Shukeni,31/07/2019,1,0,1
Mkoani,Mjimbini,Shukeni,31/07/2019,1,0,1
Mkoani,Mjimbini,Mjimbini,31/07/2019,2,0,2
Mkoani,Mjimbini,Usambe,31/07/2019,1,0,1
Mkoani,Mjimbini,Usambe,31/07/2019,1,0,1
Mkoani,Mjimbini,Usambe,31/07/2019,3,0,3
Mkoani,Mjimbini,Mjimbini,31/07/2019,1,0,1
Mkoani,Mjimbini,Sazani,31/07/2019,1,0,4
Mkoani,Chokocho,Kifukwe,31/07/2019,1,0,2
Mkoani,Chokocho,Kifukwe,31/07/2019,1,0,1
Mkoani,Chokocho,Kifukwe,31/07/2019,1,0,1
Mkoani,Chokocho,Kifukwe,31/07/2019,2,0,3
Mkoani,Chokocho,Kifukwe,31/07/2019,1,0,1
Mkoani,Chokocho,Kifukwe,31/07/2019,4,0,4
Mkoani,Chokocho,Kandaani,31/07/2019,2,0,2
Mkoani,Chokocho,Mabatini,31/07/2019,3,0,3
Mkoani,Chokocho,Ulenge,31/07/2019,4,0,4
Mkoani,Chokocho,Ulenge,31/07/2019,6,0,6
Chakechake,Ole,Ole,29/07/2019,2,0,2
Chakechake,Ole,Kianga,29/07/2019,2,0,2
Chakechake,Ole,Ole Muhugoni,29/07/2019,2,0,2
Chakechake,Ole,Ole Muhugoni,29/07/2019,3,0,3
Chakechake,Ole,Simaungwe,29/07/2019,4,0,4
Chakechake,Ole,Ole Muhugoni,29/07/2019,4,0,5
Chakechake,Ole,Mbuzini Skuli,29/07/2019,5,0,5
Chakechake,Ole,Kiuyu Minungwini,29/07/2019,4,0,4
Chakechake,Ole,Kianga,29/07/2019,3,0,4
Chakechake,Ole,Ole Mbuyuni,29/07/2019,4,0,6
Chakechake,Ole,Mchangamrima,29/07/2019,1,0,3
Chakechake,Ole,Kianga,29/07/2019,2,0,3
Chakechake,Ole,Ole Muhugoni,29/07/2019,2,0,3
Chakechake,Ole,Jonwe,29/07/2019,5,0,5
Chakechake,Ole,Ole Muhugoni,29/07/2019,1,0,1
Chakechake,Ole,Jonwe,29/07/2019,2,0,2
Chakechake,Ole,Jonwe,29/07/2019,7,0,7
Chakechake,Ole,Ole Mbuyuni,29/07/2019,,0,3
Chakechake,Ziwani,Mchangamrima,29/07/2019,1,0,1
Chakechake,Ziwani,Mchangamrima,29/07/2019,1,0,1
Chakechake,Ziwani,Ziwani,29/07/2019,1,0,1
Chakechake,Ziwani,Ziwani,29/07/2019,6,0,6
Chakechake,Ziwani,Ziwani sokoni,29/07/2019,1,0,1
Chakechake,Ziwani,Welezo,29/07/2019,5,0,5
Chakechake,Ziwani,Welezo,29/07/2019,3,0,3
Chakechake,Ziwani,Welezo,29/07/2019,4,0,4
Chakechake,Ziwani,Welezo,29/07/2019,2,0,2
Chakechake,Ziwani,Welezo,29/07/2019,3,0,3
Chakechake,Ziwani,Welezo,29/07/2019,3,0,3
Chakechake,Ziwani,Mchengwe,29/07/2019,1,0,2
Chakechake,Ziwani,Mchangani,29/07/2019,2,0,2
Chakechake,Ziwani,Mchangani,29/07/2019,1,0,1
Chakechake,Ziwani,Pembeni,29/07/2019,4,0,4
Chakechake,Ziwani,Welezo,29/07/2019,1,0,1
Chakechake,Uwandani,Uwandani,29/07/2019,5,0,5
Chakechake,Uwandani,Uwandani,29/07/2019,10,0,10
Chakechake,Uwandani,Uwandani,29/07/2019,3,0,3
Chakechake,Uwandani,Uwandani,29/07/2019,1,0,1
Chakechake,Uwandani,Uwandani,29/07/2019,3,0,3
Chakechake,Uwandani,Uwandani,29/07/2019,1,0,1
Chakechake,Uwandani,Uwandani,29/07/2019,4,0,4
Chakechake,Uwandani,Uwandani,29/07/2019,1,0,1
Chakechake,Uwandani,Uwandani,29/07/2019,1,0,1
Chakechake,Uwandani,Makaani,29/07/2019,1,0,4
Chakechake,Uwandani,Makaani,29/07/2019,3,0,3
Chakechake,Vitongoji,Kiwaa,29/07/2019,4,0,4
Chakechake,Vitongoji,Mchangani,29/07/2019,1,0,1
Chakechake,Vitongoji,Kiwaa,29/07/2019,3,0,3
Chakechake,Vitongoji,Mchangani,29/07/2019,2,0,2
Chakechake,Vitongoji,Changuo,29/07/2019,4,0,4
Chakechake,Vitongoji,Mchangani,29/07/2019,1,0,1
Chakechake,Vitongoji,Mchangani,29/07/2019,2,0,2
Chakechake,Vitongoji,Vumba,29/07/2019,4,0,4
Chakechake,Vitongoji,Vumba,29/07/2019,5,0,5
Chakechake,Vitongoji,Vumba,29/07/2019,3,0,3
Chakechake,Vitongoji,Mchangani,29/07/2019,7,0,7
Chakechake,Vitongoji,Mchangani,29/07/2019,1,0,1
Chakechake,Vitongoji,Mchangani,29/07/2019,6,0,6
Chakechake,Vitongoji,Mchangani,29/07/2019,5,0,5
Chakechake,Vitongoji,Vumba,29/07/2019,4,0,8
Chakechake,Mbuzini,Mbuzini,29/07/2019,11,0,11
Chakechake,Mbuzini,Mbuzini,29/07/2019,13,0,14
Chakechake,Mbuzini,Mbuzini,29/07/2019,5,0,5
Chakechake,Mbuzini,Mbuzini,29/07/2019,2,0,2
Chakechake,Mbuzini,Mbuzini,29/07/2019,3,0,3
Chakechake,Kipangani,Kipangani,29/07/2019,2,0,2
Chakechake,Kipangani,Kipangani,29/07/2019,9,0,9
Chakechake,Mjini Ole,Makaani,29/07/2019,1,0,1
Chakechake,Mjini Ole,Ole Mbuyuni,29/07/2019,3,0,3
Chakechake,Mjini Ole,Mjini Ole,29/07/2019,4,0,4
Chakechake,Mjini Ole,Kangagani,29/07/2019,4,0,4
Chakechake,Mjini Ole,Mjini Kiuyu,29/07/2019,9,0,9
Chakechake,Kibokoni,Makaani,29/07/2019,11,0,11
Chakechake,Kibokoni,Makaani,29/07/2019,2,0,2
Chakechake,Kibokoni,Mawasilano,29/07/2019,12,0,12
Chakechake,Kibokoni,Kisiwani,29/07/2019,8,0,8
Chakechake,Kibokoni,Kisiwani,29/07/2019,2,0,2
Chakechake,Shungi,Chanjamjawiri,30/07/2019,7,0,7
Chakechake,Shungi,Vikokotoni,30/07/2019,1,0,1
Chakechake,Shungi,Vikokotoni,30/07/2019,1,0,1
Chakechake,Shungi,Vikokotoni,30/07/2019,4,0,4
Chakechake,Shungi,Vikokotoni,30/07/2019,6,0,6
Chakechake,Shungi,Vikokotoni,30/07/2019,2,0,2
Chakechake,Shungi,Vikokotoni,30/07/2019,1,0,1
Chakechake,Shungi,Vikokotoni,30/07/2019,2,0,2
Chakechake,Shungi,Vikokotoni,30/07/2019,3,0,3
Chakechake,Shungi,Kichangani,30/07/2019,1,0,1
Chakechake,Shungi,Shungi,30/07/2019,2,0,2
Chakechake,Shungi,Shungi,30/07/2019,1,0,2
Chakechake,Shungi,Shungi,30/07/2019,2,0,2
Chakechake,Shungi,Shungi,30/07/2019,1,0,1
Chakechake,Shungi,Shungi,30/07/2019,2,0,2
Chakechake,Kilindi,Chanjamjawiri,30/07/2019,1,0,1
Chakechake,Kilindi,Kuungeni,30/07/2019,4,0,4
Chakechake,Kilindi,Msooni,30/07/2019,10,0,10
Chakechake,Kilindi,Papani,30/07/2019,2,0,2
Chakechake,Kilindi,Tundaua,30/07/2019,1,0,1
Chakechake,Kilindi,Tundaua,30/07/2019,2,0,4
Chakechake,Kilindi,Ostabee,30/07/2019,1,0,2
Chakechake,Kilindi,Ostabee,30/07/2019,1,0,4
Chakechake,Kilindi,chanini,30/07/2019,2,0,3
Chakechake,Kilindi,Chanoni,30/07/2019,2,0,3
Chakechake,Kilindi,Meli tano,30/07/2019,0,0,0
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Mjawiri,30/07/2019,1,0,1
Chakechake,Matale,Limani,30/07/2019,5,0,5
Chakechake,Matale,Limani,30/07/2019,2,0,2
Chakechake,Matale,Limani,30/07/2019,4,0,4
Chakechake,Matale,Limani,30/07/2019,3,0,4
Chakechake,Matale,Limani,30/07/2019,1,0,1
Chakechake,Matale,Limani,30/07/2019,1,0,1
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Limani,30/07/2019,2,0,2
Chakechake,Matale,Limani,30/07/2019,3,0,3
Chakechake,Matale,Matale,30/07/2019,8,0,8
Chakechake,Mvumoni,Furaha,30/07/2019,6,0,6
Chakechake,Mvumoni,Furaha,30/07/2019,2,0,2
Chakechake,Mvumoni,Furaha,30/07/2019,5,0,5
Chakechake,Mvumoni,Furaha,30/07/2019,6,0,6
Chakechake,Mvumoni,Mfikiwa,30/07/2019,1,0,1
Chakechake,Mvumoni,Limanda,30/07/2019,5,0,5
Chakechake,Chanjaani,Kizomwe,30/07/2019,1,0,1
Chakechake,Chanjaani,Madungu,30/07/2019,3,0,3
Chakechake,Chanjaani,Gongomawe,30/07/2019,6,0,6
Chakechake,Chanjaani,Goboma,30/07/2019,5,0,5
Chakechake,Chanjaani,Gongomawe,30/07/2019,1,0,1
Chakechake,Chanjaani,Mpendae,30/07/2019,1,0,1
Chakechake,Chanjaani,Kilimni,30/07/2019,2,0,2
Chakechake,Chanjaani,Kilimni,30/07/2019,2,0,6
Chakechake,Chanjaani,Kilimni,30/07/2019,4,0,4
Chakechake,Mgogoni,Mgogoni,30/07/2019,10,0,10
Chakechake,Mgogoni,Mgogoni,30/07/2019,15,0,15
Chakechake,Mgogoni,Mgogoni,30/07/2019,4,0,6
Chakechake,Mgogoni,Mgogoni,30/07/2019,3,0,3
Chakechake,Mgogoni,Kichangani,30/07/2019,1,0,1
Chakechake,Mgogoni,Kichangani,30/07/2019,2,0,2
Chakechake,Chonga,Changa,30/07/2019,5,0,5
Chakechake,Chonga,Changa,30/07/2019,2,0,2
Chakechake,Chonga,Changa,30/07/2019,,0,
Chakechake,Madungu,Madungu,30/07/2019,4,0,4
Chakechake,Madungu,Madungu,30/07/2019,4,0,4
Chakechake,Madungu,Police Madung,30/07/2019,3,0,3
Chakechake,Madungu,Fueni,30/07/2019,1,0,1
Chakechake,Kichungwani,Kichungwani,30/07/2019,2,0,2
Chakechake,Kichungwani,Banda taka,30/07/2019,1,0,1
Chakechake,Vitongoji,Udusini,31/07/2019,3,0,3
Chakechake,Vitongoji,Vumba,31/07/2019,3,0,3
Chakechake,Vitongoji,Chuo cha Ufundi,31/07/2019,1,0,1
Chakechake,Vitongoji,Vumba,31/07/2019,6,0,6
Chakechake,Ndagoni,Ngagu,31/07/2019,5,0,5
Chakechake,Ndagoni,Depu,31/07/2019,5,0,5
Chakechake,Ndagoni,Buyuni,31/07/2019,5,0,5
Chakechake,Tibirinzi,Pondeani,31/07/2019,5,0,5
Chakechake,Tibirinzi,Pondeani,31/07/2019,16,0,16
Chakechake,Tibirinzi,Pondeani,31/07/2019,2,0,2
Chakechake,Tibirinzi,Pondeani,31/07/2019,3,0,3
Chakechake,Tibirinzi,Kisiwani,31/07/2019,1,0,1
Chakechake,Tibirinzi,Muharitani,31/07/2019,2,0,2
Chakechake,Tibirinzi,Muharitani,31/07/2019,2,0,2
Chakechake,Tibirinzi,Michakaeni,31/07/2019,1,0,1
Chakechake,Tibirinzi,Muharitani,31/07/2019,2,0,5
Chakechake,Tibirinzi,Muharitani,31/07/2019,4,0,4
Chakechake,Tibirinzi,Muharitani,31/07/2019,2,0,4
Chakechake,Tibirinzi,Tibirinzi,31/07/2019,1,0,1
Chakechake,Tibirinzi,Ngomahazingwa,31/07/2019,3,0,3
Chakechake,Tibirinzi,Kisiwani,31/07/2019,6,0,6
Chakechake,Wesha,Kaole,31/07/2019,1,0,1
Chakechake,Wesha,Kaole,31/07/2019,2,0,2
Chakechake,Wesha,Mchochani,31/07/2019,3,0,3
Chakechake,Wesha,Hemani,31/07/2019,2,0,3
Chakechake,Wesha,Wesha Hospt,31/07/2019,3,0,3
Chakechake,Wesha,Wesha Hospt,31/07/2019,1,0,1
Chakechake,Wesha,Tondooni,31/07/2019,2,0,2
Chakechake,Wesha,Tondooni,31/07/2019,1,0,1
Chakechake,Wesha,Kijangwani,31/07/2019,2,0,2
Chakechake,Wesha,Kijangwani,31/07/2019,2,0,2
Chakechake,Wesha,Makaange,31/07/2019,2,0,2
Chakechake,Wesha,rambwe,31/07/2019,1,0,1
Chakechake,Ng'ambwa,Ng'ambwa,31/07/2019,6,0,6
Chakechake,Ng'ambwa,Ng'ambwa,31/07/2019,4,0,4
Chakechake,Ng'ambwa,Ng'ambwa,31/07/2019,4,0,4
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,2,0,2
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,2,0,2
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,5,0,5
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,1,0,1
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,3,0,3
Chakechake,Ng'ambwa,Vikunguni,31/07/2019,3,0,3
Chakechake,Kwale,Kwale,31/07/2019,1,0,1
Chakechake,Kwale,Kwale,31/07/2019,1,0,1
Chakechake,Kwale,Kwale,31/07/2019,9,0,9
Chakechake,Kwale,Ng'ambwa,31/07/2019,2,0,2
Chakechake,Wawi,Mbuni,1/8/2019,1,0,1
Chakechake,Wawi,Mbuni,1/8/2019,1,0,2
Chakechake,Wawi,Mererani,1/8/2019,7,0,7
Chakechake,Wawi,Batini,1/8/2019,8,0,8
Chakechake,Wawi,Msikiti wabati,1/8/2019,1,0,1
Chakechake,Wawi,Mangala,1/8/2019,3,0,3
Chakechake,Wawi,Vila,1/8/2019,4,0,4
Chakechake,Wawi,Magome,1/8/2019,2,0,2
Chakechake,Wawi,Mwanamanja,1/8/2019,7,0,7
Chakechake,Wawi,Banda maji,1/8/2019,1,0,1
Chakechake,Wawi,Mtakata,1/8/2019,2,0,2
Chakechake,Wawi,Mtakata,1/8/2019,1,0,1
Chakechake,Wawi,Mtemani,1/8/2019,1,0,1
Chakechake,Wawi,Mtemani,1/8/2019,4,0,4
Chakechake,Wawi,Mtemani,1/8/2019,3,0,3
Chakechake,Wawi,Wawi Branch,1/8/2019,3,0,3
Chakechake,Wawi,Mtega,1/8/2019,5,0,5
Chakechake,Wawi,Mtega,1/8/2019,1,0,1
Chakechake,Wawi,Kwa gereg,1/8/2019,3,0,3
Chakechake,Wawi,Kwa gereg,1/8/2019,1,0,1
Chakechake,Wawi,Makonyo,1/8/2019,2,0,2
Chakechake,Wawi,Fidel Catro,1/8/2019,2,0,2
Chakechake,Wawi,Ditia ,1/8/2019,1,0,1
Chakechake,Wawi,mtemani,1/8/2019,3,0,3
Chakechake,Wara,Mkadini,1/8/2019,2,0,2
Chakechake,Wara,Mkadini,1/8/2019,2,0,2
Chakechake,Wara,Mkadini,1/8/2019,1,0,2
Chakechake,Wara,Fletini,1/8/2019,2,0,2
Chakechake,Msingini,Mtoni,1/8/2019,5,0,5
Chakechake,Msingini,Mtoni,1/8/2019,4,0,4
Chakechake,Msingini,Shamiani,1/8/2019,2,0,2
Chakechake,Msingini,Mtoni,1/8/2019,1,0,1
Chakechake,Msingini,Mtoni,1/8/2019,4,0,4
Chakechake,Msingini,Mtoni,1/8/2019,1,0,1
Chakechake,Msingini,Mtoni,1/8/2019,1,0,1
Chakechake,Msingini,Mtoni,1/8/2019,1,0,1
Chakechake,Mkoroshoni,Dira,1/8/2019,1,0,1
Chakechake,Kibirinzi,Kisiwani,1/8/2019,5,0,5
Chakechake,Vitongoji,Vumba,2/8/2019,1,0,1
Chakechake,Vitongoji,Vumba,2/8/2019,1,0,1
Chakechake,Vitongoji,Vumba,2/8/2019,1,0,1
Chakechake,Vitongoji,Vumba,2/8/2019,1,0,1
Chakechake,Pujini,Mto wa mawe,2/8/2019,5,0,5
Chakechake,Pujini,Mtamani,2/8/2019,4,0,4
Chakechake,Matale,Chanjamjawiri,7/8/2019,1,0,1
Chakechake,Matale,Matale,7/8/2019,3,0,3
Chakechake,Matale,Matale,7/8/2019,5,0,6
Chakechake,Matale,Mwine,7/8/2019,1,0,1
Chakechake,Matale,Mwine,7/8/2019,4,0,6
Micheweni,Sizini,Kwapengo,5/8/2019,5,0,7
Micheweni,Sizini,sizini,5/8/2019,0,0,2
Micheweni,Sizini,Kibondeni,5/8/2019,3,2,5
Micheweni,Konde,Chanjaani,5/8/2019,8,0,8
Micheweni,Konde,Kwa mchina,5/8/2019,2,0,2
Micheweni,Konde,Konde Ujinga,5/8/2019,7,0,7
Micheweni,Konde,Dutani,5/8/2019,6,0,7
Micheweni,Konde,Dutani,5/8/2019,4,0,5
Micheweni,Konde,Chanjaani,5/8/2019,1,0,1
Micheweni,Kifundi,Kiuyu Kipangani,5/8/2019,5,0,5
Micheweni,Kifundi,Kiuyu Kipangani,5/8/2019,3,0,5
Micheweni,Kifundi,Kiuyu Kipangani,5/8/2019,1,0,1
Micheweni,Kifundi,Mijileni,5/8/2019,2,0,2
Micheweni,Kifundi,Mijileni,5/8/2019,1,0,1
Micheweni,Kifundi,Pogwa,5/8/2019,1,1,1
Micheweni,Kifundi,Pogwa,5/8/2019,0,1,0
Micheweni,Kifundi,Pogwa,5/8/2019,1,0,3
Micheweni,Kifundi,Matangatuani,5/8/2019,0,0,1
Micheweni,Kifundi,Kifundi,5/8/2019,1,1,1
Micheweni,Kifundi,Kifundi,5/8/2019,2,0,2
Micheweni,Kifundi,mshashani,5/8/2019,1,0,4
Micheweni,Kifundi,Kipangani Kiuy,5/8/2019,4,0,6
Micheweni,Kifundi,Kipangani Kiuy,5/8/2019,4,0,8
Micheweni,Kifundi,Kibatini,5/8/2019,1,0,2
Micheweni,Tumbe Mashariki,,5/8/2019,0,0,4
Micheweni,Tumbe Mashariki,T.Mashariki,5/8/2019,12,0,12
Micheweni,Tumbe Mashariki,T.Magharibi,5/8/2019,11,0,11
Micheweni,Kipange,K/Manda,5/8/2019,1,0,1
Micheweni,Kipange,K/Manda,5/8/2019,2,0,2
Micheweni,Kipange,K/Manda,5/8/2019,1,0,1
Micheweni,Kipange,K/Manda,5/8/2019,1,0,1
Micheweni,Kipange,K/Manda,5/8/2019,2,0,2
Micheweni,Kipange,K/Manda,5/8/2019,2,0,2
Micheweni,Kipange,K/Manda,5/8/2019,5,0,5
Micheweni,Kipange,Chonja,5/8/2019,6,0,6
Micheweni,Kipange,Kipange,5/8/2019,9,0,11
Micheweni,Kipange,Kipange,5/8/2019,3,0,3
Micheweni,Micheweni,Micheweni,5/8/2019,2,0,2
Micheweni,Micheweni,Micheweni,5/8/2019,1,0,4
Micheweni,Micheweni,Micheweni,5/8/2019,2,0,4
Micheweni,Micheweni,Micheweni,5/8/2019,2,0,4
Micheweni,Micheweni,Micheweni,5/8/2019,3,0,5
Micheweni,Micheweni,Micheweni,5/8/2019,1,0,1
Micheweni,Kinowe,Kinowe,6/8/2019,2,0,5
Micheweni,Kinowe,Mwanambale,6/8/2019,4,0,6
Micheweni,Kinowe,Mwanambale,6/8/2019,0,0,2
Micheweni,Kinowe,Chanjaani,6/8/2019,0,0,6
Micheweni,Kinowe,Kinowe,6/8/2019,2,2,2
Micheweni,Kinowe,Kinowe,6/8/2019,1,1,1
Micheweni,Shumba Mjini,Shumba Mjini,6/8/2019,1,0,7
Micheweni,Shumba Mjini,Shumba Mjini,6/8/2019,0,0,1
Micheweni,Shumba Mjini,Shumba Mjini,6/8/2019,5,0,5
Micheweni,Shumba Mjini,Shumba Mjini,6/8/2019,3,0,3
Micheweni,Shumba Mjini,Shumba Mjini,6/8/2019,4,0,4
Micheweni,Shumba Mjini,Sebundwa,6/8/2019,0,0,4
Micheweni,Shumba Mjini,Sebundwa,6/8/2019,0,0,3
Micheweni,Shumba Mjini,Chupwe,6/8/2019,0,0,5
Micheweni,Chimba,Chimba,6/8/2019,2,0,2
Micheweni,Chimba,Chimba,6/8/2019,5,0,5
Micheweni,Chimba,Bule,6/8/2019,2,0,2
Micheweni,Chimba,Chimba,6/8/2019,2,0,2
Micheweni,Msuka Magharibi,Chnajaani,6/8/2019,2,2,3
Micheweni,Msuka Magharibi,Chanjaani,6/8/2019,0,2,0
Micheweni,Msuka Magharibi,Sijuu,6/8/2019,5,0,5
Micheweni,Msuka Magharibi,Ntongwe,6/8/2019,1,0,2
Micheweni,Msuka Magharibi,Msuka,6/8/2019,5,0,5
Micheweni,Msuka Magharibi,Taponi,6/8/2019,6,0,6
Micheweni,Msuka Magharibi,Mtongwe,6/8/2019,1,0,1
Micheweni,Msuka Mashariki,Kigongo,6/8/2019,4,0,4
Micheweni,Msuka Mashariki,Kigongo,6/8/2019,4,0,4
Micheweni,Msuka Mashariki,Kigongo,6/8/2019,6,0,6
Micheweni,Mapofu,Ruwi,6/8/2019,2,0,3
Micheweni,Mapofu,Kinazini,6/8/2019,1,0,1
Micheweni,Mapofu,Kinazini,6/8/2019,0,0,2
Micheweni,Mapofu,Mapofu,6/8/2019,1,0,1
Micheweni,Mapofu,Mapofu,6/8/2019,6,0,11
Micheweni,Mapofu,Mapofu,6/8/2019,1,0,1
Micheweni,Mapofu,Kilindini,6/8/2019,6,3,6
Micheweni,Msuka Magharibi,Mtoni,6/8/2019,2,0,2
Micheweni,Makangale,Mishelini,7/8/2019,5,0,5
Micheweni,Makangale,Pemba Paradise,7/8/2019,1,0,2
Micheweni,Makangale,Swhaihil Dver,7/8/2019,0,0,1
Micheweni,Makangale,Jiwe moja,7/8/2019,2,0,2
Micheweni,Makangale,Mishelini,7/8/2019,1,0,1
Micheweni,Makangale,Mishelini,7/8/2019,1,0,1
Micheweni,Makangale,Mishelini,7/8/2019,3,0,4
Micheweni,Makangale,Sokoni,7/8/2019,4,0,4
Micheweni,Makangale,Mkwasa,7/8/2019,1,0,2
Micheweni,Makangale,Upembani,7/8/2019,4,0,4
Micheweni,Makangale,Upembani,7/8/2019,0,0,1
Micheweni,Makangale,Makangale,7/8/2019,0,0,9
Micheweni,Maziwa Ng'ombe,kiuyu,7/8/2019,4,0,4
Micheweni,Maziwa Ng'ombe,kiuyu,7/8/2019,4,0,4
Micheweni,Maziwa Ng'ombe,kiuyu,7/8/2019,3,0,4
Micheweni,Maziwa Ng'ombe,kiuyu,7/8/2019,0,0,3
Micheweni,Maziwa Ng'ombe,Ma. Ngombe,7/8/2019,2,0,2
Micheweni,Maziwa Ng'ombe,Ma. Ngombe,7/8/2019,2,0,2
Micheweni,Tondooni,Makangale,7/8/2019,2,0,4
Micheweni,Tondooni,Makangale,7/8/2019,2,0,3
Micheweni,Wingwi Mtemani,Mtemani,7/8/2019,2,0,2
Micheweni,Wingwi Mtemani,Mtemani,7/8/2019,3,0,5
Micheweni,Wingwi Njuguni,Michungani,7/8/2019,6,0,7
Micheweni,Shumba Viamboni,Uwondwe,8/8/2019,2,0,2
Micheweni,Tondooni,Tondooni,8/8/2019,1,0,5
Micheweni,Tondooni,Tondooni,8/8/2019,2,0,2
Micheweni,Tondooni,Tondooni,8/8/2019,2,0,2
Micheweni,Tondooni,Tondooni,8/8/2019,1,0,2
Micheweni,Makangale,Kwa Wamanga,8/8/2019,2,0,2
Micheweni,Makangale,Minarani,8/8/2019,2,0,2
Wete,Kipangani,Kipangani Chini,20/08/2019,3,2,3
Wete,Selemu,Kitutia,20/08/2019,1,0,1
Wete,Selemu,Selemu,20/08/2019,3,0,3
Wete,Bopwe,Bopwe,20/08/2019,7,0,10
Wete,Bopwe,Zaire,20/08/2019,5,0,5
Wete,Jadida,Ndovu,20/08/2019,0,0,3
Wete,Jadida,Chasas,20/08/2019,3,0,3
Wete,Mtambwe Kaskazini,Mchangani,20/08/2019,3,0,3
Wete,Mtambwe Kaskazini,ukunguni,20/08/2019,3,0,3
Wete,Mtambwe Kaskazini,ukunguni,20/08/2019,2,0,2
Wete,Mtambwe Kaskazini,Mchangani,20/08/2019,1,0,1
Wete,Mtambwe Kaskazini,Mpakanjia,20/08/2019,2,0,2
