"Chake Chake",97009,97016,97023,97027,97038,97048,97053,97060,97071,97076,97084,97095,97101,97106,97116,97127,97131,97141,97150,97156,97165,97172,97178,97182,97200,97203,97208,97221,97224,97233,97250,97250,97250,97267,97276,97279,97292,97297,97300,97318,97322,97328,97335,97344,97350,97359,97369,97373,97384,97395,97399,97406,97416,97424,97429,97440,97447,97453,97463,97474,97477,97484,97492,97503,97509,97518,97524,97533,97542,97550,97553,97566,97573,97578,97592,97593,97603,97615,97618,97630,97636,97642,97653,97659,97666,97677,97684,97689,97697,97708,97716,97724,97728,97738,97748,97752,97761,97773,97777,97786,97794,97803,97808,97817,97826,97834,97842,97847,97856,97868,97873,97880,97889,97893,97904,97919,97921,97925,97936,97946,97953,97959,97966,97974,97982,97993,98000,98006,98016,98024,98030,98043
"Micheweni",103555,103565,103572,103580,103587,103601,103607,103617,103621,103631,103641,103649,103655,103666,103672,103682,103692,103699,103706,103714,103723,103733,103742,103746,103758,103769,103773,103781,103788,103802,103813,103816,103819,103830,103844,103851,103859,103863,103874,103886,103890,103899,103909,103918,103926,103933,103940,103950,103960,103966,103977,103983,103991,104001,104011,104016,104025,104032,104045,104053,104060,104067,104078,104084,104093,104103,104109,104119,104127,104133,104142,104154,104163,104168,104177,104185,104192,104204,104210,104221,104227,104235,104246,104253,104261,104267,104280,104287,104297,104302,104311,104323,104329,104336,104346,104353,104365,104369,104379,104387,104399,104406,104413,104421,104430,104438,104445,104457,104463,104472,104480,104490,104498,104505,104513,104525,104529,104540,104548,104557,104568,104572,104581,104593,104599,104605,104618,104621,104632,104643,104650,104660
"Mkoani",97620,97625,97639,97645,97648,97659,97668,97672,97684,97689,97700,97707,97712,97721,97733,97739,97745,97750,97763,97771,97776,97784,97795,97798,97806,97818,97824,97832,97839,97852,97862,97864,97866,97876,97889,97896,97904,97910,97922,97930,97933,97944,97952,97958,97965,97978,97984,97989,97995,98008,98018,98021,98028,98039,98045,98057,98060,98069,98080,98083,98090,98103,98108,98119,98126,98133,98143,98148,98157,98163,98173,98183,98188,98197,98203,98212,98221,98229,98237,98244,98251,98261,98270,98277,98283,98289,98297,98309,98320,98324,98330,98340,98349,98357,98362,98372,98380,98388,98395,98402,98407,98422,98426,98436,98444,98451,98456,98469,98476,98483,98490,98498,98507,98515,98523,98531,98540,98547,98552,98562,98569,98581,98585,98594,98601,98606,98619,98624,98635,98644,98650,98659
"Wete",107645,107654,107664,107671,107680,107688,107698,107712,107716,107721,107734,107743,107750,107756,107771,107777,107785,107792,107805,107810,107820,107827,107839,107848,107856,107860,107872,107878,107888,107898,107914,107916,107918,107934,107944,107954,107960,107972,107976,107985,107993,108005,108012,108022,108027,108041,108048,108055,108063,108076,108083,108090,108100,108111,108117,108121,108135,108144,108153,108161,108169,108179,108189,108193,108203,108214,108224,108229,108241,108249,108255,108264,108275,108284,108292,108302,108306,108317,108326,108337,108343,108353,108363,108371,108376,108390,108398,108407,108412,108423,108432,108440,108449,108459,108469,108472,108485,108496,108503,108508,108517,108529,108540,108545,108555,108562,108571,108579,108591,108599,108608,108615,108626,108633,108643,108651,108660,108668,108678,108685,108697,108706,108710,108718,108730,108739,108748,108757,108764,108773,108779,108792
