"Chake Chake",899,899,899,899,899,898,898,898,898,898,898,898,898,898,897,896,893,890,887,884,881,878,876,873,870,867,865,863,861,859,859,869,872,877,884,892,902,912,919,932,941,955,972,984,998,1018,1036,1053,1053,1054,1058,1064,1075,1081,1093,1109,1123,1140,1160,1187,1164,1144,1122,1107,1088,1071,1054,1036,1021,1006,996,979,969,957,947,936,927,917,906,899,890,883,874,869,862,858,852,845,840,839,833,828,824,825,823,826,834,838,850,859,876,866,857,851,846,841,838,839,837,846,846,852,862,870,882,881,881,881,881,881,881,881,881,881,881,881,881,881,881,881,881,881
"Micheweni",1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1298,1288,1276,1266,1258,1253,1246,1240,1231,1225,1220,1218,1213,1211,1208,1203,1204,1209,1216,1226,1234,1244,1254,1268,1280,1294,1310,1327,1343,1363,1339,1318,1294,1272,1254,1235,1215,1199,1186,1167,1153,1139,1127,1113,1104,1092,1081,1073,1062,1053,1044,1023,1002,982,965,947,932,918,903,888,875,863,848,841,808,778,756,741,725,716,711,712,705,699,696,692,691,690,691,697,702,704,709,719,726,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738
"Mkoani",1101,1101,1100,1100,1100,1100,1099,1099,1099,1099,1099,1098,1098,1098,1098,1098,1098,1097,1097,1097,1097,1097,1097,1097,1096,1096,1096,1096,1096,1096.5,1096,1092,1093,1094,1097,1101,1104,1116,1126,1140,1158,1178,1204,1231,1265,1303,1347,1329,1304,1279,1257,1238,1222,1204,1189,1176,1170,1161,1159,1151,1134,1113,1099,1083,1069,1055,1040,1029,1015,1003,994,984,974,963,952,946,938,929,920,914,909,893,871,853,835,822,808,793,785,769,759,749,738,700,666,640,612,593,572,558,548,549,547,550,549,552,556,562,565,570,575,585,592,596,608,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
"Wete",1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1204,1205,1207,1214,1219,1225,1231,1237,1243,1251,1260,1270,1280,1292,1304,1318,1330,1330,1332,1338,1341,1349,1355,1365,1377,1395,1412,1431,1452,1476,1443,1411,1378,1351,1325,1297,1274,1251,1225,1208,1190,1172,1157,1138,1122,1107,1093,1082,1068,1058,1050,1033,1018,1005,990,977,969,957,947,936,924,918,910,894,876,866,853,844,839,834,837,844,846,852,856,857,863,869,874,882,889,898,907,916,926,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936
