"district","shehia","d_s","year","dog_pop_est","dogs_vacc","vc_est","vc_waning_est","human_exposures","animal_cases"
"Chake Chake","Kilindi","Chake Chake_Kilindi",1,46,0,0,0,0,0
"Chake Chake","Tibirinzi","Chake Chake_Tibirinzi",1,38,0,0,0,0,0
"Chake Chake","Chachani","Chake Chake_Chachani",1,4,0,0,0,0,0
"Chake Chake","Wara","Chake Chake_Wara",1,62,0,0,0,0,0
"Chake Chake","Mvumoni","Chake Chake_Mvumoni",1,33,13,0.393939393939394,0.247667470733821,0,0
"Chake Chake","Matale","Chake Chake_Matale",1,44,37,0.840909090909091,0.528674793297194,0,0
"Chake Chake","Wesha","Chake Chake_Wesha",1,20,8,0.4,0.251477739514341,0,0
"Chake Chake","Uwandani","Chake Chake_Uwandani",1,16,12,0.75,0.471520761589389,0,0
"Chake Chake","Madungu","Chake Chake_Madungu",1,33,0,0,0,0,0
"Chake Chake","Mgogoni","Chake Chake_Mgogoni",1,27,18,0.666666666666667,0.419129565857235,0,0
"Chake Chake","Dodo","Chake Chake_Dodo",1,21,21,1,0.628694348785852,0,0
"Chake Chake","Mbuzini","Chake Chake_Mbuzini",1,25,0,0,0,0,0
"Chake Chake","Michungwani","Chake Chake_Michungwani",1,5,0,0,0,0,0
"Chake Chake","Kibokoni","Chake Chake_Kibokoni",1,54,9,0.166666666666667,0.104782391464309,0,0
"Chake Chake","Kichungwani","Chake Chake_Kichungwani",1,13,14,1,0.628694348785852,0,0
"Chake Chake","Msingini","Chake Chake_Msingini",1,14,0,0,0,0,0
"Chake Chake","Mkoroshoni","Chake Chake_Mkoroshoni",1,14,0,0,0,0,0
"Chake Chake","Mfikiwa","Chake Chake_Mfikiwa",1,20,0,0,0,0,0
"Mkoani","Ng'ombeni","Mkoani_Ng'ombeni",1,19,0,0,0,0,0
"Mkoani","Makombeni","Mkoani_Makombeni",1,10,5,0.5,0.314347174392926,0,0
"Mkoani","Makoongwe","Mkoani_Makoongwe",1,0,0,0,NA,0,0
"Mkoani","Shidi","Mkoani_Shidi",1,7,0,0,0,0,0
"Mkoani","Mkanyageni","Mkoani_Mkanyageni",1,28,7,0.25,0.157173587196463,0,0
"Mkoani","Michenzani","Mkoani_Michenzani",1,39,6,0.153846153846154,0.0967222075055157,0,0
"Mkoani","Chokocho","Mkoani_Chokocho",1,45,0,0,0,0,0
"Mkoani","Kisiwa Panza","Mkoani_Kisiwa Panza",1,0,0,0,NA,0,0
"Mkoani","Kangani","Mkoani_Kangani",1,41,8,0.195121951219512,0.122672068055776,0,0
"Mkoani","Kengeja","Mkoani_Kengeja",1,62,21,0.338709677419355,0.212944860072627,0,0
"Mkoani","Muambe","Mkoani_Muambe",1,22,9,0.409090909090909,0.257193142685121,0,0
"Mkoani","Kiwani","Mkoani_Kiwani",1,19,0,0,0,0,0
"Mkoani","Mtambile","Mkoani_Mtambile",1,23,0,0,0,0,0
"Mkoani","Mizingani","Mkoani_Mizingani",1,13,12,0.923076923076923,0.580333245033094,0,0
"Mkoani","Ngwachani","Mkoani_Ngwachani",1,61,13,0.213114754098361,0.133984041544526,0,0
"Mkoani","Chambani","Mkoani_Chambani",1,70,0,0,0,0,0
"Mkoani","Wambaa","Mkoani_Wambaa",1,36,0,0,0,0,0
"Mkoani","Mbuguani","Mkoani_Mbuguani",1,32,0,0,0,0,0
"Mkoani","Uweleni","Mkoani_Uweleni",1,23,0,0,0,0,0
"Mkoani","Mtangani","Mkoani_Mtangani",1,34,0,0,0,0,0
"Mkoani","Ukutini","Mkoani_Ukutini",1,34,3,0.0882352941176471,0.0554730307752223,0,0
"Mkoani","Chumbageni","Mkoani_Chumbageni",1,101,13,0.128712871287129,0.0809210547942186,0,0
"Mkoani","Mbuyuni","Mkoani_Mbuyuni",1,13,0,0,0,0,0
"Mkoani","Stahabu","Mkoani_Stahabu",1,65,8,0.123076923076923,0.0773777660044126,0,0
"Mkoani","Kuukuu","Mkoani_Kuukuu",1,70,0,0,0,0,0
"Mkoani","Mjimbini","Mkoani_Mjimbini",1,43,10,0.232558139534884,0.146207988089733,0,0
"Mkoani","Shamiani","Mkoani_Shamiani",1,0,0,0,NA,0,0
"Mkoani","Jombwe","Mkoani_Jombwe",1,5,7,1,0.628694348785852,0,0
"Mkoani","Kendwa","Mkoani_Kendwa",1,32,0,0,0,0,0
"Mkoani","Minazini","Mkoani_Minazini",1,29,6,0.206896551724138,0.130074692852245,0,0
"Mkoani","Mgagadu","Mkoani_Mgagadu",1,50,0,0,0,0,0
"Mkoani","Mkungu","Mkoani_Mkungu",1,36,0,0,0,0,0
"Mkoani","Changaweni","Mkoani_Changaweni",1,37,0,0,0,0,0
"Wete","Kipangani","Wete_Kipangani",1,4,0,0,0,0,0
"Wete","Mtambwe Kaskazini","Wete_Mtambwe Kaskazini",1,150,118,0.786666666666667,0.673913154619379,0,0
"Wete","Fundo","Wete_Fundo",1,89,0,0,0.022336681420581,0,0
"Wete","Mchanga Mdogo","Wete_Mchanga Mdogo",1,25,0,0,0.0894584090894269,0,0
"Wete","Kambini","Wete_Kambini",1,15,0,0,0,0,0
"Wete","Kojani","Wete_Kojani",1,66,0,0,0,0,0
"Wete","Ole","Wete_Ole",1,30,0,0,0.198796464643171,0,0
"Wete","Kangagani","Wete_Kangagani",1,13,0,0,0,0,0
"Wete","Kiuyu Minungwini","Wete_Kiuyu Minungwini",1,7,0,0,0,0,0
"Wete","Piki","Wete_Piki",1,34,0,0,0.0950130161897508,0,0
"Wete","Kisiwani","Wete_Kisiwani",1,65,0,0,0.0344070804190103,0,0
